Plant type,Species,Author,Journal,Year,Kingdom,Phylum,Angiosperm or Gymnosperm,Dicot or Monocot,Class,Order,Family,Accepted name,Growth form Raunkiaer,Growth form author
Tree,Betula pubescens subspp. tortuosa,"Lehtila, Tuomi & Sulkinoja",Ecol,1994,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Betulaceae,Betula nana,,
Herbaceous perennial,Boltonia decurrens,"Smith, Caswell & Mettler-Cherry",Ecol Appl,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Boltonia decurrens,Chamaephyte,Rosette
Palm,Borassus aethiopum,"Barot,  Gignoux & Vuattoux",J Trop Ecol,2000,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Borassus aethiopum,Macrophanerophyte,Monopodial
Herbaceous perennial,Borderea chouardii,Garcia,Cons Biol,2003,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Dioscoreales,Dioscoreaceae,Dioscorea chouardii,Geophyte,"tubers, geophyte"
Herbaceous perennial,Borderea pyrenaica,Garcia & Antor,Int J Plant Sci,1995,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Dioscoreales,Dioscoreaceae,Dioscorea pyrenaica,Geophyte,"tuber, tiller, geophyte"
Tree,Boswellia papyrifera,"Groenendijk, Eshete, Sterck, Zuidema & Bongers",J Appl Ecol,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Burseraceae,Boswellia papyrifera,Mesophanerophyte,
Herbaceous perennial,Bothriochloa insculpta,O'Connor,J Appl Ecol,1993,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Bothriochloa insculpta,Chamaephyte,tufted herb
Herbaceous perennial,Bothriochloa ischaemum,Gabbard,PhD thesis,2003,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Bothriochloa ischaemum,Hemicryptophyte,Tiller
Herbaceous perennial,Bouteloua rigidiseta,"Fowler, Overath & Pease",Ecol,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Bouteloua rigidiseta,Hemicryptophyte,"tiller, bunchgrass"
Herbaceous perennial,Brassica insularis,"Noel, Maurice, Mignot, Glemin, Carbonell, Justy, Guyot, Olivieri & Petit",Cons Genet,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,,,
Annual,Brassica napus,"Garnier, Lecomte",Ecol Model,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Brassica napus,Therophyte,Rosette
Herbaceous perennial,Braya fernaldii,Squires,PhD thesis,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,,Chamaephyte,
Herbaceous perennial,Braya longii,Squires,PhD thesis,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,,Chamaephyte,
Annual,Bromus tectorum,Griffith,J Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Bromus tectorum,Therophyte,Forb
Tree,Brosimum alicastrum,Peters,PhD thesis,1989,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Moraceae,Brosimum alicastrum,Macrophanerophyte,
Tree,Bursera glabrifolia,"Hernandez-Apolinar, Valverde & Purata",Forest Ecol & Manag,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Burseraceae,,Macrophanerophyte,Monocolumnar
Herbaceous perennial,Calamagrostis canescens,"Logofet, Ulanova, Klochkova, Demidova",Zhurnal obshcheA biologii,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,,Hemicryptophyte,tiller?
Liana,Calamus rhabdocladus,Binh,PhD thesis,2009,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Calamus rhabdocladus,Mesophanerophyte,
Herbaceous perennial,Calathea marantifolia,Matlaga,PhD thesis,2008,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Zingiberales,Marantaceae,Calathea marantifolia,Geophyte,
Herbaceous perennial,Calathea micans,Le Corff & Horvitz,Ecol Model,2005,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Zingiberales,Marantaceae,Calathea micans,Geophyte,"Rhizome, shoots"
Herbaceous perennial,Calathea ovandensis,Horvitz & Schemske,Ecol Monog,1995,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Zingiberales,Marantaceae,Calathea ovandensis,Geophyte,"rhizome, tuber"
Tree,Callitris intratropica,Price & Bowman,J Biogeog,1994,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Cupressaceae,Callitris columellaris,Macrophanerophyte,Monopodial
Shrub,Calluna vulgaris,Scandrett & Gimmingham,Vegetatio,1989,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Ericaceae,Calluna vulgaris,Chamaephyte,Shrub
Tree,Callycophyllum spruceanum,Fortini & Zarin,Forest Ecol & Manag,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Gentianales,Rubiaceae,,,
Tree,Calocedrus decurrens,van Mantgem & Stepheson,Ecol,2005,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Pinaceae,Calocedrus decurrens,Macrophanerophyte,
Tree,Calocedrus macrolepis,"Chien, Zuidema & Nghia",Popul Ecol,2008,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Cupressaceae,Calocedrus macrolepis,Macrophanerophyte,
Herbaceous perennial,Calochortus albus,Fiedler,J Ecol,1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Calochortus albus,Geophyte,Bulb
Herbaceous perennial,Calochortus lyallii,"Miller, Antos & Allen",Plant Ecol,2007,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Calochortus lyallii,Geophyte,Bulb
Herbaceous perennial,Calochortus macrocarpus,"Miller, Antos & Allen",Plant Ecol,2007,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Calochortus macrocarpus,Geophyte,Bulb
Herbaceous perennial,Calochortus obispoensis,Fiedler,J Ecol,1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Calochortus obispoensis,Geophyte,bulb
Herbaceous perennial,Calochortus pulchellus,Fiedler,J Ecol,1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Calochortus pulchellus,Geophyte,bulb
Herbaceous perennial,Calochortus tiburonensis,Fiedler,J Ecol,1987,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Calochortus tiburonensis,Geophyte,bulb
Tree,Camellia japonica,"Shimatani, Kubota, Araki, Aikawa & Manabe",Plant Spp Biol,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Theaceae,Camellia japonica,Mesophanerophyte,
Herbaceous perennial,Campanula americana,Wardle,Ecol,1998,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Campanulaceae,Campanulastrum americanum,Hemicryptophyte,Rosette
Herbaceous perennial,Campanula thrysoides,"Kuss, Rees, Aegisdottir, Ellner & Stocklin",J Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Campanulaceae,Campanulastrum americanum,,
Annual,Campanulastrum americanum,Galloway & Etterson,Sci,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Campanulaceae,Campanulastrum americanum,Therophyte,
Shrub,Caragana intermedia,Li & Zuidema,PhD thesis,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Caragana korshinskii,Nanophanerophyte,
Tree,Carapa guianensis,Fortini & Zarin,Forest Ecol & Manag,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Meliaceae,,,
Tree,Carapa guianensis 2,"Klimas, Cropper Jr., Kainer, Wadt",Ecol Modell,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Meliaceae,,,
Herbaceous perennial,Carduus nutans,"Jongejans, Sheppard & Shea",J Appl Ecol,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Carduus nutans,Hemicryptophyte,Rosette
Herbaceous perennial,Carduus nutans 2,Shea & Kelly,Ecol Appl,1998,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Carduus nutans,Hemicryptophyte,
Herbaceous perennial,Carduus nutans 3,Shea & Kelly,,2005,,,,,,,,,,
Herbaceous perennial,Carex aquatilis subspp. stans,"Tolvanen, Schroderus & Henry",J Veg Sci,2001,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,,Geophyte,"Tiller, rhizomatous sedge"
Herbaceous perennial,Carex bigelowii,Carlsson & Callaghan,Oikos,1991,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Carex bigelowii,Geophyte,"Tiller, rhizomatous"
Herbaceous perennial,Carex humilis,Wikberg & Svensson,Plant Ecol,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Carex humilis,Geophyte,"Tiller, rhizomatous sedge"
Herbaceous perennial,Carex membranaceae,"Tolvanen, Schroderus & Henry",J Veg Sci,2001,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,,Geophyte,"Tiller, rhizomatous sedge"
Herbaceous perennial,Carlina vulgaris,"Lofgren, Eriksson & Lehtila",Ann Bot Fen,2000,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Carlina vulgaris,Hemicryptophyte,Rosette
Succulent,Carnegiea gigantea,Steenbergh,,,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Carnegiea gigantea,Macrophanerophyte,
Herbaceous perennial,Carum carvi,Kiviniemi,Popul Ecol,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Caryocaraceae,Carum carvi,Hemicryptophyte,
Tree,Caryocar brasiliense,Collevatti & Hay,J Ecol,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malpighiales,Caryocaraceae,,,
Shrub,Cassia nemophila,Silander,Oeco,1983,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Cassia nemophila,Nanophanerophyte,Shrub
Tree,Castanea dentata,Davelos & Jarosez,J Ecol,2004,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Fagaceae,Castanea dentata,Macrophanerophyte,Monopodial
Epiphyte,Catopsis sessiliflora,"Winkler, Hulber & Hietz",Bas & Appl Ecol,2007,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Bromeliaceae,Catopsis sessiliflora,Epiphyte,Rosette
Tree,Cecropia obtusifolia,Alvarez-Buylla,Amer Nat,1994,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Cecropiaceae,Cecropia obtusifolia,Macrophanerophyte,Monopodial
Tree,Cedrela odorata,"Zuidema, Brienen, During, Guneralp",Amer Nat,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Meliaceae,Cedrela odorata,Macrophanerophyte,
Herbaceous perennial,Centaurea corymbosa,"Freville, Colas, Riba, Caswell, Mignot, Imbert & Olivieri",Ecol,2004,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,Rosette
Herbaceous perennial,Centaurea horrida,"Pisanu, Farris, Filigheddu, Begona-Garcia",Plant Ecol,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Centaurea jacea,Hemicryptophyte,
Herbaceous perennial,Centaurea jacea,Jongejans & Kroon,J Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Centaurea jacea,Hemicryptophyte,Rosette
Herbaceous perennial,Centaurea maculosa,Emery & Gross,J Appl Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Centaurea biebersteinii,Hemicryptophyte,Rosette
Herbaceous perennial,Centaurea solstitialis,Swope,PhD thesis,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Centaurea biebersteinii,Hemicryptophyte,
Annual,Centaurea stoebe,"Hahn, Buckley & Muller-Schaerer",Ecol Lett,2012,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Centaurea biebersteinii,Therophyte,
Succulent,Cephalocereus columna-trajani,Zavala-Hurtado & Diaz-Solis,J Arid Env,1995,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,,Mesophanerophyte,Columnar
Annual,Cerastium fontanum,"Burns, Pardini, Schutzenhofer, Chung, Seidler & Knight",Unpublished ms (word),,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,,Therophyte,
Annual,Cerastium pumilum,"Burns, Pardini, Schutzenhofer, Chung, Seidler & Knight",Unpublished ms (word),,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,,Therophyte,
Palm,Ceratozamia matudai,"Perez-Farrera, Quintana-Ascencio & Salvatierra-Izaba",J Torrey Bot Soc,2000,Plantae,Cycadophyta,Gymnosperm,.,Cycadophyta,Cycadales,Zamiaceae,,,
Palm,Ceratozamia mirandae,"Perez-Farrera, Vovides, Octvio-Aguilar, et al",Plant Ecol,2006,Plantae,Cycadophyta,Gymnosperm,.,Cycadophyta,Cycadales,Zamiaceae,Ceratozamia mirandae,Nanophanerophyte,Monopodial
Herbaceous perennial,Chaerophyllum aureum,"Magda, Duru & Theau",Weed Sci,2004,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,,,
Herbaceous perennial,Chamaecrista keyensis,"Liu, Menges & Quintana-Ascencio",Ecol Appl,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Chamaecrista lineata keyensis,Hemicryptophyte,"Subshrub, tillers"
Palm,Chamaedorea elegans,"Valverde, Hernandez-Apolinar, & Mendoza-Amaro",J Sust Forestry,2006,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Chamaedorea elegans,Nanophanerophyte,
Palm,Chamaedorea radicalis,Berry,Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Chamaedorea radicalis,Nanophanerophyte,Palm
Palm,Chamaedorea radicalis 2,Endress,Ecol Appl,2004,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Chamaedorea radicalis,Nanophanerophyte,Palm
Herbaceous perennial,Chamaelirium luteum,Meagher,Ecol,1982,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Chamaelirium luteum,Hemicryptophyte,"Rosette, no clones"
Herbaceous perennial,Cheirolophus metlesicsii,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Annual,Chenopodium album,"Davis, Landis, Nuzzo, Blossey, Gerber & Hinz",Weed Sci,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Liliopsida,Zingiberales,Marantaceae,,,
Tree,Chlorocardium rodiei,"ter Steege, Boot, Brouwer, Hammond, Vanderhout, Jetten, Khan, Polak, Raaimakers & Zagt",Ph.D Thesis,1997,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Laurales,Lauraceae,,Macrophanerophyte,Monopodial
Tree,Choerospodnias axillaris,"Brodie, Helmy, Brockelman & Maron",Ecol Appl,2009,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Anacardiaceae,,Mesophanerophyte,
Annual,Chorizanthe pungens pungens,Fox,Cons Biol,2007,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Polygonaceae,Chorizanthe pungens pungens,Therophyte,
Herbaceous perennial,Cimicifuga elata,Kaye & Pyke,Ecol,2003,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Cimicifuga elata,Geophyte,Rhizome
Herbaceous perennial,Cimicifuga rubifolia,Cook,PhD thesis,1993,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Cimicifuga elata,,
Tree,Cinnamomum camphora,Zeng,PhD thesis,2001,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Laurales,Lauraceae,Cinnamomum camphora,Mesophanerophyte,
Herbaceous perennial,Cirsium acaule,Munzbergova,Amer J Bot,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,spinose-dentate lobes
Herbaceous perennial,Cirsium acaule 2,"Bullock, White, Prudhomme, Tansey, Perea & Hooftman",J Ecol,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Cirsium arvense,"Davis, Landis, Nuzzo, Blossey, Gerber & Hinz",Weed Sci,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,
Herbaceous perennial,Cirsium canescens,"Rose, Louda & Rees",Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Cirsium canescens,Hemicryptophyte,
Herbaceous perennial,Cirsium dissectum,"Jongejans, de Vere & de Kroon",Plant Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,Rosettes
Herbaceous perennial,Cirsium palustre,Ramula,Acta Oeco,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Cirsium palustre,Hemicryptophyte,Rosette (just one)
Herbaceous perennial,Cirsium pannonicum,Munzbergova,Amer J Bot,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,Hemicryptophyte,Spinules
Herbaceous perennial,Cirsium perplexans,Dodge,PhD thesis,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Cirsium pitcheri,"Louda, Rand, Arnett, McClay, Shea & McEachern",Ecol Appl,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Cirsium pitcheri2,"Bell, Bowles & McEachern",Book,2003,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Cirsium scariosum,Dodge,PhD thesis,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Cirsium undulatum,"Dalgleish, Koons, & Adler",J Ecol,2010,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Cirsium undulatum,Hemicryptophyte,Forb
Herbaceous perennial,Cirsium undulatum var. tracyi,Dodge,PhD thesis,2005,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Cirsium vulgare,"Bullock, Hill & Silvertown",J Ecol,1994,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Cirsium vulgare,Hemicryptophyte,Rosette
Herbaceous perennial,Cirsium vulgare 2,"Tenhumberg, Louda, Eckberg, Takahashi",J Appl Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Cirsium vulgare,Hemicryptophyte,Rosette
Herbaceous perennial,Cirsium vulgare 3,"Forcella, Wood",Weed Res,1986,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Cirsium vulgare,Hemicryptophyte,Rosette
Annual,Clarkia xantiana subspp. xantiana,"Eckhart, Geber, Morris, Fabio, Tiffin & Moeller",Am Nat,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Myrtales,Onagraceae,,,
Herbaceous perennial,Cleistes varicata var. bifaria,Wells & Willems,Population Ecology of Terrestrial Orchids,1991,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,,Geophyte,Bulb
Herbaceous perennial,Cleistes varicata var. divaricata,Wells & Willems,Population Ecology of Terrestrial Orchids,1991,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,,Geophyte,Bulb
Herbaceous perennial,Cleome droserifolia,,Population Ecology of Terrestrial Orchids,1991,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Capparaceae,,Chamaephyte,
Herbaceous perennial,Cleome droserifolia,Hegazy ,from Ramula,,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Capparaceae,,Chamaephyte,
Shrub,Clidemia hirta,DeWalt,Biol Inv,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Myrtales,Melastomataceae,Clidemia hirta,Nanophanerophyte,"densely  branching,  slightly woody shrub that grows to a maximum of 2–3 m in  height "
Herbaceous perennial,Clintonia borealis,"Pitelka, Hansen & Ashmun",J Ecol,1985,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Clintonia borealis,Geophyte,Rhizome
Palm,Coccothrinax readii,Olmsted & Alvarez-Buylla,Ecol Appl,1995,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Coccothrinax readii,Mesophanerophyte,Columnar
Herbaceous perennial,Cochlearia bavarica,Abs,Fol Geobot,1999,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,,Hemicryptophyte,
Herbaceous perennial,Cochlearia pyrenaica,Abs,Fol Geobot,1999,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,,Hemicryptophyte,
Herbaceous perennial,Colchicum autumnale,Winter,,,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,,,
Annual,Collinsia verna,Kalinz & McPeek,Ecol,1992,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Malpighiales,Scrophulariaceae,Collinsia verna,Therophyte,Forb
Herbaceous perennial,Commelina benghalensis,Burns,Ecol Appl,2008,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Commelinales,Commelinaceae,,Hemicryptophyte,
Herbaceous perennial,Commelina bracteosa,Burns,Ecol Appl,2008,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Commelinales,Commelinaceae,Commelina bracteosa,Hemicryptophyte,
Annual,Conyza canadensis,"Bullock, White, Prudhomme, Tansey, Perea & Hooftman",J Ecol,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,,,
Herbaceous perennial,Corallorhiza trifida,"Iriondo, Albert, Gimenez, Lozano & Escudero",Book,2009,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,,Geophyte,
Shrub,Cornus florida,Vejdani,PhD thesis,2006,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Cornales,Cornaceae,,,
Shrub,Cornus racemosa,Boeken & Canham,J Ecol,1995,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Cornales,Cornaceae,,,
Succulent,Coryphanta robbinsorum,"Schmalzel, Reichenbacher & Rutman",Madrono,1995,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,,Chamaephyte,Globular
Succulent,Coryphanta werdermannii,"Portilla-Alonso, Martorell",J Arid Env,2011,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,,Chamaephyte,
Herbaceous perennial,Cryptantha flava,"Lucas, Casper & Forseth",J Ecol,2008,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Cryptantha flava,Hemicryptophyte,Rosette
Tree,Cupressus forbesii,Gouvenain & Ansary,Southw Nat,2006,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Cupressaceae,,,
Herbaceous perennial,Cynoglossum officinalis,Boorman & Fuller,New Phyto,1984,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,,Hemicryptophyte,
Herbaceous perennial,Cynoglossum virginianum,"Cipollini, Whigham & O'Neill",Plant Spp Biol,1993,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Cynoglossum virginianum,Hemicryptophyte,Rossete. Non clonal
Herbaceous perennial,Cynoglossum vulgare,,,,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Cynoglossum virginianum,Hemicryptophyte,Rossete. Non clonal
Herbaceous perennial,Cypripedium acaule,Cochran,Ecol Monog,1992,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium acaule,Geophyte,Basal leaves
Herbaceous perennial,Cypripedium calceolus,"Nicole, Brzosko & Till-Bottraud",J Ecol,2005,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium calceolus,Geophyte,"Rhizomatous, clones"
Herbaceous perennial,Cypripedium fasciculatum,"Thorpe, Stanley, Kayne, Latham",IAE,2011,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,,,
Herbaceous perennial,Cypripedium lentiginosum,Zhongjian et al.,Acta Ecol Sinica,2008,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Orchidaceae,Cypripedium lentiginosum,Geophyte,Rhizome
Algae,Cystoseira humilis,Engelen & Santos,J Ecol,2009,Chromalveolata,Heterokontophyta,.,.,Phaeophyceae,Fucales,Sargassaceae,Cystoseira humilis,,
Shrub,Cytisus scoparius,Neubert & Parker,Risk Anal,2004,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Cytisus scoparius,Nanophanerophyte,large shrub
Shrub,Cytisus scoparius 2,"Magda, Chambon-Dubreuil, Agreil, Gleizes & Jarry",GfÖ,2009,,,,,,,,,,
Tree,Dacrydium elatum,"Chien, Zuidema & Nghia",Popul Ecol,2008,Plantae,Pinophyta,Gymnosperm,.,Pinopsida,Pinales,Podocarpaceae,Dacrydium elatum,Mesophanerophyte,
